ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,53,746,452.0,595.0,1.0,1.5280406608378023,0.9182803181728467,1.0,0.4819121447028424,0.5726937199783019,50.08330731527111,49.4064773081425,9.848857801796104,4.10143731912362,3.605551275463989,19.18086039273018,19.82952765522092,37.505890824608464,127.94200000000006,0.9669475048606611,447.4946380697051,590.3324396782842,0,53
1,54,1043,225.0,610.0,1.0,1.105016989826154,0.6247289086107797,1.0,0.6099415204678362,0.7110277266429856,42.69780623778215,45.60701700396552,15.231546211727817,5.500005989557487,5.0,32.858005338904626,33.34022843705637,-60.70752911857076,135.77,0.8910721913712089,225.2032598274209,612.8139980824544,0,54
1,55,533,708.0,608.0,1.0,1.7325626316680107,0.914492659776169,1.0,0.42983870967741933,0.482649371985175,44.9550861480303,43.382023926967726,7.810249675906654,3.210936070373933,3.0,20.84070500568049,18.18893981039661,35.47597872926708,117.80200000000005,0.8199999999999998,713.5497185741089,615.140712945591,0,55
1,56,503,120.0,621.0,1.0,2.594851029728721,0.9698258547595217,1.0,0.5190918472652218,0.41564724268689135,55.98236060033147,50.80354318352215,6.324555320336759,2.788840408055628,2.8284271247461903,13.932425418125677,13.648427347897181,-11.457100499335686,123.31800000000004,0.7847113884555383,105.78131212723657,624.9304174950298,0,56
1,57,792,636.0,654.0,1.0,2.303869878891923,0.9654286152467494,1.0,0.36114911080711354,0.38920982879070454,65.90812035990204,63.12685640834652,9.219544457292887,3.448164476248624,3.1622776601683795,18.09870198933145,17.180110438799744,38.06691446537124,159.9099999999999,0.8703296703296703,640.2209595959596,655.7462121212121,0,57
1,58,656,547.0,689.0,1.0,1.8472735002172473,0.8504298331835265,1.0,0.45179063360881544,0.32392156530080707,49.15284254754054,48.76474136094644,7.0,2.8266245374066044,2.8284271247461903,25.960917371488065,25.858744692664782,-49.5028892236745,159.52799999999985,0.7065158858373721,554.6951219512196,679.8643292682926,0,58
1,59,335,447.0,691.0,1.0,3.7043596391115967,0.9784795963647746,1.0,0.281986531986532,0.2941538016486998,55.02699122114782,44.04543109109048,5.656854249492381,2.3488371249606215,2.0,11.413793103448276,11.354467230647087,47.29546493664821,119.63000000000005,0.7346491228070174,438.1373134328358,682.2865671641791,0,59
1,60,662,225.0,696.0,1.0,1.958832282384133,0.9379183537290049,1.0,0.5404081632653062,0.4028601565789015,54.2695663088518,50.92150822589606,7.810249675906654,3.1533628322694063,3.0,21.778888860545663,18.823730715562878,14.975642322302582,143.69999999999996,0.7738164815897136,214.99546827794563,694.6842900302115,0,60
1,61,529,311.0,712.0,1.0,2.857555568481144,0.9776233969128293,1.0,0.3041978148361127,0.3834467476180507,60.67279014594865,55.47071299343465,5.656854249492381,2.690021570842922,2.8284271247461903,13.332586869704189,12.763296026622815,40.34118413858526,131.66800000000003,0.8525382755842063,302.648393194707,704.2155009451795,0,61
1,62,468,106.0,711.0,1.0,2.55079270199667,0.9765665999488508,1.0,0.585,0.4357204318667922,53.87677831147427,49.8196748283246,6.0,2.763393676436554,2.8284271247461903,11.556346003299524,11.595113329678052,9.392371523460623,116.17800000000003,0.9017341040462428,94.47222222222223,708.8760683760684,0,62
1,63,661,795.0,701.0,1.0,2.1620768036205784,0.8760817780463834,1.0,0.40354090354090355,0.38852728729115543,54.31796208477008,49.64876634922564,6.708203932499369,2.9849143880518847,3.0,27.229447435187698,26.190086746429685,42.116195051214724,146.216,0.669706180344478,793.5839636913767,709.0650529500756,0,63
1,64,694,361.0,713.0,1.0,1.8158598593191506,0.9205178191515224,1.0,0.40348837209302324,0.3684943149245357,52.74730343228099,49.92995093127971,9.219544457292887,3.3608267133889758,3.0,22.51512143136934,20.60840213975583,41.15653165964202,153.83999999999997,0.7535287730727469,368.5317002881844,717.9193083573487,0,64
1,65,486,661.0,748.0,1.0,1.0274955827664984,0.4965128458162848,1.0,0.72,0.7697057307956128,26.96338752716993,28.0178514522438,10.770329614269007,4.146788940550157,3.605551275463989,22.715802700052055,23.40501239321787,-25.224846916977675,89.07600000000004,0.9204545454545454,660.2901234567901,747.6131687242798,0,65
1,66,718,88.0,753.0,1.0,1.5936494456411499,0.8102601468174041,1.0,0.4835016835016835,0.45465811535250183,46.56647722044842,44.181444068749045,8.94427190999916,3.543374700237628,3.1622776601683795,30.67040024726501,27.291233165358964,-11.355931890685897,140.87199999999999,0.7140726006961712,90.61838440111421,757.299442896936,0,66
1,67,499,9.0,778.0,1.0,2.244493691779608,0.9609872467550494,1.0,0.4264957264957265,0.3524332606640182,51.456027237258766,47.50789408087881,6.0,2.7839052144766607,2.8284271247461903,15.548261663235564,14.232360563567886,68.54314161985445,133.38800000000003,0.760670731707317,13.03807615230461,786.8476953907816,0,67
1,68,892,605.0,796.0,1.0,2.178813604462738,0.9520437373056833,1.0,0.37510513036164844,0.39096481939651173,67.21668413656494,66.03786792439622,9.0,3.520643768528679,3.1622776601683795,22.866436311667787,20.56574856482256,56.830473713141984,169.32399999999984,0.7943009795191451,605.4618834080718,792.1502242152467,0,68
1,69,548,171.0,786.0,1.0,1.0505968361684777,0.3321832686871153,1.0,0.6095661846496107,0.7412154863555878,27.882034011420306,30.805843601498726,11.40175425099138,4.256517214866767,3.605551275463989,24.41200413620205,26.298748863937647,67.72087986557516,96.38800000000005,0.9186923721709975,171.09306569343065,785.3083941605839,0,69
1,70,819,271.0,789.0,1.0,1.9123368993469596,0.7846468021000286,1.0,0.42,0.21321115908221752,53.652275623709286,49.25444142409901,7.211102550927978,2.7568662577194494,2.23606797749979,36.66741017677912,33.261355853084225,-0.39404034300500373,219.70599999999962,0.6185800604229608,287.01221001221,789.5628815628816,0,70
