ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_CM_border_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_CM_inner_segment
3,55,4777,289.0,609.0,1.0,1.2785859984497214,0.8275597828433552,1.0,0.5084078331204768,0.47616417256530597,108.59005716253658,120.20815280171308,26.90724809414742,9.868650803451727,8.602325267042627,66.70925535560984,60.96002529062118,-26.134316229179603,355.06199999999905,0.8349938821884285,1,289.69143814109276,605.8854929872305,0,55,55
3,56,12306,504.0,630.0,1.0,1.2379952812789403,0.5738835981672294,1.0,0.5506040268456376,0.4381170208998862,152.10819003271678,164.20109622045769,39.56008088970496,14.097327995797857,13.0,132.56922329006295,124.56700678427204,47.331210609089716,594.111999999998,0.8071625344352618,1,514.5952380952381,634.3110677718187,0,56,56
3,57,3574,197.0,634.0,1.0,1.2360723562590301,0.8299383851102486,1.0,0.6336879432624114,0.49702118640539356,92.50762369264277,93.53608929178085,24.020824298928627,8.836936386603652,8.0,51.28743070134441,51.605846707841856,10.098781037457556,300.60399999999936,0.8705395201558884,1,195.85030777839955,635.8794068270845,0,57,57
3,58,2842,838.0,656.0,1.0,1.0290243762129474,0.3030168348384169,1.0,0.7769272826681246,0.7656087071115146,62.413015403055056,67.11929677819934,27.0,9.536724841417245,8.365746312736945,57.9204322375812,59.47868017558238,1.4545004209020813,215.9799999999997,0.9508196721311474,1,838.5147783251232,656.1150598170302,0,58,58
3,59,2894,998.0,645.0,1.0,1.2843192774165546,0.7444945292844064,1.0,0.5683424980361351,0.35419027276305276,80.81922480776245,88.86506625215557,24.041630560342615,8.07581581536455,6.708203932499369,57.69143685844939,53.95722278391375,-23.264630308244442,320.43199999999933,0.7844944429384658,1,989.5898410504492,645.9219073946095,0,59,59
3,60,12409,347.0,670.0,1.0,1.6638209539969038,0.8767938691075835,1.0,0.422160985235082,0.21416136265114497,206.24112869040405,208.90428430264421,35.90264614203248,12.128056337768447,10.0,128.7517803817639,99.17443261217812,-17.212542337336668,853.301999999997,0.6175475266248632,1,351.8491417519542,656.7250382786688,0,60,60
3,61,4040,909.0,684.0,1.0,1.156435093550277,0.7562329761247214,1.0,0.6275240757999379,0.6281214435911353,91.15443328265664,89.05054744357274,25.495097567963924,9.740152622758725,8.94427190999916,63.38880653730457,59.64256831090176,59.99393481696228,284.2979999999993,0.9154769997733968,1,904.0160891089109,676.6287128712871,0,61,61
3,62,7029,198.0,703.0,1.0,1.387872989528582,0.8586046154656072,1.0,0.599437148217636,0.41868905255688255,140.02020704173916,142.87407042567241,33.54101966249684,11.026668066886963,9.899494936611665,78.17615516226834,71.77973287704333,5.0658060988762585,459.3099999999986,0.8643098678143251,1,210.99231754161332,703.2725850049794,0,62,62
3,63,9646,89.0,698.0,1.0,1.2237253890230178,0.6386530526425533,1.0,0.5321931034482759,0.3127822737632408,137.1654687956845,156.97452022541748,36.069377593742864,11.737484538520759,9.848857801796104,115.29695492835174,105.54811775176735,-17.939987459019573,622.525999999998,0.7560449896147666,1,91.80375285092266,692.4043126684636,0,63,63
3,64,5089,984.0,722.0,1.0,1.2043424857915102,0.7657034007000678,1.0,0.6236519607843137,0.4012243432075065,104.91875441945774,110.57124400132251,29.410882339705484,10.50668212428696,9.433981132056603,65.01958593455196,67.48309542914424,-22.459844000461143,399.23399999999884,0.8879002006455554,1,981.9341717429751,718.8665749656121,0,64,64
3,65,4572,461.0,720.0,1.0,1.7355416688155831,0.9243770678292867,1.0,0.42018196856906537,0.2444887885290567,132.59474208462404,132.60844618650805,21.93171219946131,7.6698669416273155,6.708203932499369,66.16078381540301,50.582250217173616,-55.849305688319475,484.7619999999986,0.7336917275134397,1,456.27515310586176,735.9057305336833,0,65,65
3,66,7092,693.0,696.0,1.0,1.2741905235958886,0.8644709501291202,1.0,0.6103270223752152,0.6272805053809553,135.309600610397,143.58621103713267,33.13608305156178,12.632934353452038,11.40175425099138,69.31810730249349,68.01780607094018,-16.935945046275158,376.9279999999988,0.9419577633151812,1,682.7136209813875,699.3140157924422,0,66,66
3,67,3826,863.0,751.0,1.0,1.3972011177201378,0.858219381518067,1.0,0.5555394220996079,0.569564569113718,103.65284436134218,104.31682510506155,25.179356624028344,8.916677650159832,8.0,57.16709186737545,53.2032484755675,-65.59153399025514,290.5399999999992,0.8721221791657169,1,856.8727130162049,763.3209618400418,0,67,67
3,68,4816,270.0,762.0,1.0,1.3904816296495162,0.8713251238446214,1.0,0.498705602153878,0.5336802529419034,117.05309230689431,119.4361754243663,28.635642126552707,9.621239253118743,8.54400374531753,61.652555884235845,57.438672618506985,-30.948453643356196,336.74999999999903,0.8508082324882961,1,274.6135797342193,756.5770348837209,0,68,68
3,69,3191,391.0,761.0,1.0,1.140417343843846,0.5958184035930075,1.0,0.5828310502283105,0.5916818283214383,74.97196353602787,84.02380615040002,26.0,9.080591092350968,8.0,63.14822901682588,60.21142246876997,-54.16043039769246,260.3299999999994,0.8886104149262043,1,392.81447821999376,758.5944844876215,0,69,69
3,70,3435,777.0,724.0,1.0,1.2643611089748223,0.8601694200891479,1.0,0.6051797040169133,0.6387686546584161,93.56353330341271,95.524865872714,23.345235059857504,9.198953103999475,8.06225774829855,47.400000000000006,47.718187980147206,-57.400288680101276,259.9539999999993,0.9488950276243093,1,769.7525473071324,735.8439592430859,0,70,70
3,71,3023,796.0,783.0,1.0,1.0916045201966458,0.723599446629149,1.0,0.6635206321334504,0.7382199197246552,75.36319310799115,75.43208866258443,24.08318915758459,9.301144111256441,8.48528137423857,51.07231640419469,52.01719365287975,-52.01122048211579,226.84599999999963,0.9423316708229429,1,800.3178961296725,776.8627191531591,0,71,71
